timestamp,edad,  2.  Sexo/Género:,ocupacion,antiguedad,frecuencia,conexion,barrera,interes,horario,canal_info,grupo_etario
23/03/2026 16:29:45,33,Mujer,• Opositor/a o en búsqueda de empleo.,• Toda la vida.,• Nunca o casi nunca,1.0,• Los temas que se tratan no me interesan,"• Deporte o excursiones (Rutas, Camino de Santiago, ligas)",• Tarde (18:00 - 19:30),"• Sí, me gustaría participar",Millenials (26-35)
23/03/2026 16:44:09,31,Mujer,• Trabajador/a.,• Menos de 2 años (Nuevo/a en el pueblo).,"• Solo en fechas señaladas (Navidad, Fiestas, etc.).",3.0,• Los horarios no coinciden con mi vida,"• Eventos sociales (Cenas, música en directo, debates), • Deporte o excursiones (Rutas, Camino de Santiago, ligas)",• Tarde (18:00 - 19:30),• Solo para recibir información puntual,Millenials (26-35)
23/03/2026 21:49:42,46,Mujer,• Trabajador/a.,Opción 3,"• Solo en fechas señaladas (Navidad, Fiestas, etc.).",3.0,• Los horarios no coinciden con mi vida,"• Eventos sociales (Cenas, música en directo, debates)",• Mañana (11:00 - 12:30),"• Sí, me gustaría participar",Adultos (36+)
23/03/2026 22:18:11,28,Hombre,• Trabajador/a.,Opción 3,• Nunca o casi nunca,1.0,• Siento que es un ambiente demasiado tradicional,"• Deporte o excursiones (Rutas, Camino de Santiago, ligas)",,• No me interesa,Millenials (26-35)
23/03/2026 22:46:59,50,Mujer,• Trabajador/a.,Opción 3,"• Solo en fechas señaladas (Navidad, Fiestas, etc.).",2.0,• Los temas que se tratan no me interesan,"• Espiritualidad moderna (Meditación, silencio, reflexión sobre la ansiedad/estrés), • Deporte o excursiones (Rutas, Camino de Santiago, ligas)",• Mañana (11:00 - 12:30),• Solo para recibir información puntual,Adultos (36+)
23/03/2026 23:19:26,24,Mujer,• Opositor/a o en búsqueda de empleo.,• Menos de 2 años (Nuevo/a en el pueblo).,• Nunca o casi nunca,1.0,• Los temas que se tratan no me interesan,"• Deporte o excursiones (Rutas, Camino de Santiago, ligas)",• Tarde (18:00 - 19:30),"• Sí, me gustaría participar",Gen Z (18-25)
23/03/2026 23:43:37,34,Mujer,• Trabajador/a.,• Entre 2 y 10 años,• Nunca o casi nunca,4.0,• Los horarios no coinciden con mi vida,"• Voluntariado activo (Ayuda directa a gente del pueblo), • Espiritualidad moderna (Meditación, silencio, reflexión sobre la ansiedad/estrés), • Deporte o excursiones (Rutas, Camino de Santiago, ligas)",• Tarde (18:00 - 19:30),"• Sí, me gustaría participar",Millenials (26-35)
24/03/2026 9:40:26,31,Hombre,• Trabajador/a.,• Entre 2 y 10 años,"• Solo en fechas señaladas (Navidad, Fiestas, etc.).",5.0,• Siento que es un ambiente demasiado tradicional,"• Eventos sociales (Cenas, música en directo, debates)",• Tarde (18:00 - 19:30),• No me interesa,Millenials (26-35)
24/03/2026 10:44:20,49,Mujer,• Trabajador/a.,Opción 3,• Semanalmente,5.0,,"• Voluntariado activo (Ayuda directa a gente del pueblo), • Espiritualidad moderna (Meditación, silencio, reflexión sobre la ansiedad/estrés)",• Mañana (11:00 - 12:30),• Solo para recibir información puntual,Adultos (36+)
24/03/2026 12:18:46,36,Mujer,• Opositor/a o en búsqueda de empleo.,• Toda la vida.,• Nunca o casi nunca,1.0,• Los temas que se tratan no me interesan,"• Deporte o excursiones (Rutas, Camino de Santiago, ligas)",• Mañana (11:00 - 12:30),"• Sí, me gustaría participar",Adultos (36+)
24/03/2026 13:55:11,33,Hombre,• Trabajador/a.,• Toda la vida.,• Nunca o casi nunca,3.0,• Los horarios no coinciden con mi vida,"• Voluntariado activo (Ayuda directa a gente del pueblo), • Deporte o excursiones (Rutas, Camino de Santiago, ligas)",• Mañana (11:00 - 12:30),• Solo para recibir información puntual,Millenials (26-35)
24/03/2026 14:17:11,30,Mujer,• Trabajador/a.,• Entre 2 y 10 años,• Nunca o casi nunca,1.0,• Los temas que se tratan no me interesan,"• Voluntariado activo (Ayuda directa a gente del pueblo), • Eventos sociales (Cenas, música en directo, debates)",• Mañana (11:00 - 12:30),• No me interesa,Millenials (26-35)
24/03/2026 15:38:12,43,Mujer,• Trabajador/a.,Opción 3,• Nunca o casi nunca,1.0,• Los temas que se tratan no me interesan,• Voluntariado activo (Ayuda directa a gente del pueblo),• Mañana (11:00 - 12:30),• No me interesa,Adultos (36+)
24/03/2026 21:41:41,37,Mujer,• Opositor/a o en búsqueda de empleo.,• Toda la vida.,• Nunca o casi nunca,2.0,• No conozco a gente de mi edad allí,"• Eventos sociales (Cenas, música en directo, debates)",• Tarde (18:00 - 19:30),"• Sí, me gustaría participar",Adultos (36+)
