ano,sexo,edad,poblacion
2021,Total,18.0,330
2021,Total,19.0,333
2021,Total,20.0,339
2021,Total,21.0,320
2021,Total,22.0,315
2021,Total,23.0,319
2021,Total,24.0,278
2021,Total,25.0,291
2021,Total,26.0,300
2021,Total,27.0,282
2021,Total,28.0,266
2021,Total,29.0,281
2021,Total,30.0,305
2021,Total,31.0,325
2021,Total,32.0,363
2021,Total,33.0,353
2021,Total,34.0,375
2021,Total,35.0,373
2022,Total,18.0,359
2022,Total,19.0,327
2022,Total,20.0,336
2022,Total,21.0,336
2022,Total,22.0,323
2022,Total,23.0,316
2022,Total,24.0,314
2022,Total,25.0,271
2022,Total,26.0,297
2022,Total,27.0,303
2022,Total,28.0,290
2022,Total,29.0,277
2022,Total,30.0,294
2022,Total,31.0,319
2022,Total,32.0,324
2022,Total,33.0,383
2022,Total,34.0,357
2022,Total,35.0,380
2023,Total,18.0,340
2023,Total,19.0,355
2023,Total,20.0,329
2023,Total,21.0,332
2023,Total,22.0,331
2023,Total,23.0,321
2023,Total,24.0,303
2023,Total,25.0,327
2023,Total,26.0,282
2023,Total,27.0,324
2023,Total,28.0,306
2023,Total,29.0,324
2023,Total,30.0,284
2023,Total,31.0,323
2023,Total,32.0,337
2023,Total,33.0,348
2023,Total,34.0,403
2023,Total,35.0,377
2024,Total,18.0,385
2024,Total,19.0,332
2024,Total,20.0,347
2024,Total,21.0,345
2024,Total,22.0,335
2024,Total,23.0,339
2024,Total,24.0,336
2024,Total,25.0,295
2024,Total,26.0,336
2024,Total,27.0,290
2024,Total,28.0,315
2024,Total,29.0,317
2024,Total,30.0,327
2024,Total,31.0,304
2024,Total,32.0,321
2024,Total,33.0,353
2024,Total,34.0,348
2024,Total,35.0,411
2025,Total,18.0,371
2025,Total,19.0,388
2025,Total,20.0,337
2025,Total,21.0,352
2025,Total,22.0,340
2025,Total,23.0,339
2025,Total,24.0,349
2025,Total,25.0,329
2025,Total,26.0,303
2025,Total,27.0,333
2025,Total,28.0,316
2025,Total,29.0,322
2025,Total,30.0,325
2025,Total,31.0,334
2025,Total,32.0,328
2025,Total,33.0,322
2025,Total,34.0,370
2025,Total,35.0,358
