Marca temporal,"1. Edad: ______ (Respuesta corta, validada como número).",  2.  Sexo/Género:,3. ¿A qué te dedicas principalmente?,4. ¿Cuánto tiempo llevas viviendo en O Milladoiro?,5. ¿Con qué frecuencia participas en actividades organizadas por la Parroquia de O Milladoiro?,"6. Del 1 al 5, ¿cuánta conexión sientes con el mensaje o lenguaje que se usa en la iglesia hoy?","7. Si tuvieras que elegir UNA razón por la que no participas más, ¿cuál sería?",8. ¿Qué tipo de actividad te haría considerar acercarte más? (Elige máximo 2).,9. ¿En qué horario es más probable que asistas a algo un domingo?,10. ¿Te resultaría útil una vía de contacto por WhatsApp/Instagram para conocer gente y actividades de tu edad en el pueblo?
23/03/2026 16:29:45,33,Mujer,• Opositor/a o en búsqueda de empleo.,• Toda la vida.,• Nunca o casi nunca,1,• Los temas que se tratan no me interesan,"• Deporte o excursiones (Rutas, Camino de Santiago, ligas)",• Tarde (18:00 - 19:30),"• Sí, me gustaría participar"
23/03/2026 16:44:09,31,Mujer,• Trabajador/a.,• Menos de 2 años (Nuevo/a en el pueblo).,"• Solo en fechas señaladas (Navidad, Fiestas, etc.).",3,• Los horarios no coinciden con mi vida,"• Eventos sociales (Cenas, música en directo, debates), • Deporte o excursiones (Rutas, Camino de Santiago, ligas)",• Tarde (18:00 - 19:30),• Solo para recibir información puntual
23/03/2026 21:49:42,46,Mujer,• Trabajador/a.,Opción 3,"• Solo en fechas señaladas (Navidad, Fiestas, etc.).",3,• Los horarios no coinciden con mi vida,"• Eventos sociales (Cenas, música en directo, debates)",• Mañana (11:00 - 12:30),"• Sí, me gustaría participar"
23/03/2026 22:18:11,28,Hombre,• Trabajador/a.,Opción 3,• Nunca o casi nunca,1,• Siento que es un ambiente demasiado tradicional,"• Deporte o excursiones (Rutas, Camino de Santiago, ligas)",,• No me interesa
23/03/2026 22:46:59,50,Mujer,• Trabajador/a.,Opción 3,"• Solo en fechas señaladas (Navidad, Fiestas, etc.).",2,• Los temas que se tratan no me interesan,"• Espiritualidad moderna (Meditación, silencio, reflexión sobre la ansiedad/estrés), • Deporte o excursiones (Rutas, Camino de Santiago, ligas)",• Mañana (11:00 - 12:30),• Solo para recibir información puntual
23/03/2026 23:19:26,24,Mujer,• Opositor/a o en búsqueda de empleo.,• Menos de 2 años (Nuevo/a en el pueblo).,• Nunca o casi nunca,1,• Los temas que se tratan no me interesan,"• Deporte o excursiones (Rutas, Camino de Santiago, ligas)",• Tarde (18:00 - 19:30),"• Sí, me gustaría participar"
23/03/2026 23:43:37,34,Mujer,• Trabajador/a.,• Entre 2 y 10 años,• Nunca o casi nunca,4,• Los horarios no coinciden con mi vida,"• Voluntariado activo (Ayuda directa a gente del pueblo), • Espiritualidad moderna (Meditación, silencio, reflexión sobre la ansiedad/estrés), • Deporte o excursiones (Rutas, Camino de Santiago, ligas)",• Tarde (18:00 - 19:30),"• Sí, me gustaría participar"
24/03/2026 9:40:26,31,Hombre,• Trabajador/a.,• Entre 2 y 10 años,"• Solo en fechas señaladas (Navidad, Fiestas, etc.).",5,• Siento que es un ambiente demasiado tradicional,"• Eventos sociales (Cenas, música en directo, debates)",• Tarde (18:00 - 19:30),• No me interesa
24/03/2026 10:44:20,49,Mujer,• Trabajador/a.,Opción 3,• Semanalmente,5,,"• Voluntariado activo (Ayuda directa a gente del pueblo), • Espiritualidad moderna (Meditación, silencio, reflexión sobre la ansiedad/estrés)",• Mañana (11:00 - 12:30),• Solo para recibir información puntual
24/03/2026 12:18:46,36,Mujer,• Opositor/a o en búsqueda de empleo.,• Toda la vida.,• Nunca o casi nunca,1,• Los temas que se tratan no me interesan,"• Deporte o excursiones (Rutas, Camino de Santiago, ligas)",• Mañana (11:00 - 12:30),"• Sí, me gustaría participar"
